Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),top_3_strengths,top_3_improve,other_feedback
"I think it all depends on the teacher, not at all in the grade level.",,,I think it all depends on the teacher.  It is fairly obvious that some teachers are much more enthusiastic than others.,,,,,,,"It seems like there are no repercussions when a child misbehaves.  Watching the older grades and even some of the younger ones, it is obvious that the kids don't have respect for the parents helping at recess and many of the teachers.  As they grow older they learn a stop and reflect doesn't mean anything and if they misbehave nothing will happen.  I definitely don't want to see teachers have to miss out on their lunch hour, but getting detention was something all kids worried about when I was growing up in catholic school.",,,,,,"I get inundated with so many emails each week with three kids at the school.  It is difficult to not look at emails from the school as spam mail.  If there is a notice that the entire school needs, have it come once from the office, not once from every teacher.  Email is a wonderful tool, but when you get an email ever other day from multiple people about the same thing, it becomes a hassle instead of a tool.",I LOVE the newsletter.  All kinds of information in one place instead of 20 different emails.,,,#NAME?,"-The emails covering the same thing over and over
-When a child misbehaves there needs to be some discipline.  From a parents perspective that helps out at recess, they seem like they have no respect and with no consequences they are being taught that the",
,,,,,,,,,,,,"SJGS did not adequately explain why it discontinued ""Centers"" in the Kindergarten classroom.  Although not perfect, it offered parents a scheduled window into the daily classroom curriculum and students' social interaction that parties cannot.  Please replace it, or reorganize it, with alternate volunteer opportunities.",,,,,,,,"Catholic Community, School and Parish Loyalty, Academic Focus ","Extra Curricular programs (art, music, theater); Gym classes; Spanish program",
,,,,,,,,,,,,,,,,,,,,"Community, Families, and Appropriate Curriculum",Better instruction in Spanish,Love St Joe
,,,,,,,,,,,,,,,,Not so much for the 5th grade,,,,"Community, New School addition, Academics",Fall Break would be great!,
,,,,,,,,,,,,,,,,,I have a hard time keeping up with everything in it that needs to be downloaded and sent in.,,,staff,none,
"I almost checked not challenging enough because I think SJGS can do more to individualize curriculum (e.g., Khan academy). ",,,,,I thing more specific constructive criticisms and suggestions ,,,,,,Consider improving the arts and foreign languages,,,,,,,,,,,"I like the energy and momentum of this year.  Keep building on it and being creative about how you can offer more without spreading your resources too thin.  I'd also continue to focus on mission and culture, continue talking about it, and continue offering practical steps to build it."
I appreciate the individualization in much of the education.  ,"Additional support in math facts needed in grade 1 and 2 for one child, math curriculum not challenging enough for kindergartener who is very strong in math.  Everything else has been well resourced!  ",,,,,,"Teachers are always very informative.  Could include more time to spend with teachers.  ""Office hours"" style was very supportive for one child this year who did well meeting teacher right before school in a more relaxed setting.  ","The sacramental prep in second grade has been strong.  First and K religion curriculum was not as strong...lost knowledge coming from CGS atrium, less work sent home other than standard curriculum (tests in 1) and Allelu placemats.  Would like to see religion integrated more into the curriculum in the younger grades like the K Noah's Ark unit which was wonderful.  ","Appreciate support for Mass, service",,,"There are opportunities to be involved in the school, but it is very disappointing to see parent volunteers removed from kindergarten centers and not provided with an opportunity to help in a more consistent way in the classroom besides parties in K or 1.  I understand the educational goals of changing to table tops and support that, but volunteering in the classroom is a way to get to know your child's classmates and to help make a contribution.  Lunch/recess doesn't always work for everyone's schedule.  ",,,,,Thank you for posting on Social media and using those resources effectively as well.,,FACTS is very helpful.,"Academics, teachers, Faith ","Music curriculum needs improvement: more time with music/instruments, less time with movies; allow kindergarteners to use Catechesis of the Good Shepherd atrium to supplement/augment religion curriculum; ",Thank you for your hard work and dedication to educating our children!  
,,,,,,,,,I'm not sure what SJGS does to instill character specifically. In general I feel good about what I see.,I don't always know what the strategies are here.,"Yes, Chess Club, Basketball, Boy Scouts - all good.",,,,I rarely go to the website unless I'm looking for something specific.,,,,,"good community, good teachers, positive atmosphere",I'd like to see a continued effort to keep students positively focused as they enter the middle school years.,
Jr High Science program is a complete JOKE - there is no true science being taught.  ,"Not enough ""Resource"" teachers - only one has special education training - one teacher is self-taught in LLI ",,,,,,,,,,,,,,Teacher web pages are not up to date - hard to find information - students should be able to look in one spot per grade for all assignments not numerous pages,,,,,"Community, Caring Teachers, Catholic education","Technology, Jr. High Science, Jr High Math Teacher that actually uses a book","The Jr. High is going to be the downfall of the school - very strong up until that point.  Some Jr. High Teachers (Math and Science) are out of touch with reality, are rude, don't answer emails in a timely manner, etc"
,,,,,,,,,,,,,,,,,,,,"Environment, teaching staff, academics ",Addressing the few teachers that are consistently inadequate year to year ,
,,,,,,,,,,,Kids are too young to explore the opportunities.,,,,,,,,,"New administration, academic standards, class size","Improve outdoor activity areas, we understand the limitations.  Please use direct communication if there is an issue with dress code, assignments, etc instead of general statments.  If our kid is wearing the wrong uniform, we will fix it. However,  if it is sent as a general statement in a newsletter we assume it is someone else's child.  ","We are really quite happy with the school, we had to reach for any suggestions.  "
"We know that it is difficult to differentiate when resources (like instruction and planning time) and the facility are in high demand. We are grateful that Mrs. Han and Mr. Cole start two levels per grade in 6th grade. We are also grateful that Ms. Crippen has been working hard to organize her centers so that they are at the ""just right"" level for each student. Our experience overall with St. Joe, however, has been that our children are often not sufficiently challenged. Before Mrs. Han, and Mr. Cole's splitting of the grade and Ms. Crippen's efforts, our children have not enjoyed a sustained instruction level which was deliberately geared to them. Perhaps using NWEA can help identify how each child can work at his/her right level.","Again, the resources provided seem to hit the middle level of ability rather than ""enrichment."" But for that middle level, the resources are right on target.","I would suggest that the students' ability to use technology (for example, for blended learning) is not on par with what could help the teachers differentiate.",,"K - 5 does a better job than the Jr High of informing parents of how students are progressing. While Jr. High maintains grades on Power School, very rarely do teachers inform us about new units of study or the goals of those units or even how the class is doing with learning the skills/knowledge of those units. Mrs. Green has sent a couple of emails about different units and that allowed us to direct dinner conversation in this way. Ms. Crippen has provided extensive information each quarter that gives us snapshots of our first grader's growth in math, reading and writing. That takes a lot of time and we are grateful.",,"I am wondering if the Jr. High student-led conference could be tweaked in a way to allow the teachers to make more substantive comments. What about comments (even a check list in order to save some time) in which the teachers identify strengths, areas of needed growth, areas of exceptional skill/intuition/thinking, etc.? With our 7th grader doing all of the talking and the teachers' comments being all positive (for the most part), the time didn't seem as constructive. I did appreciate being able to speak with one teacher face-to-face and to suggest that our 7th grader could be pushed more. This teacher has followed up with one of the ideas that surfaced during that meeting. (If he/she has pursued other suggestions that he/she had, I am not aware of it.)",,"We value this most highly. I appreciate the new(er) initiatives to have the students attend Adoration by class level. Quiet prayer is so necessary, especially in our culture where often TVs and phones are never turned off.","Absolutely. I especially appreciate the grade level commitments to various service opportunities. Being so close to downtown and the places of ""working for justice"" is one of St. Joe's assets. I think it would enhance this education to keep activities in school consistent with the liturgical season. For example, Advent is a time of waiting for Christmas and yet there are Christmas music presentations and parties in mid December.","When substitute teachers reward behavior in lower grades with candy for individual students, that can seem like a punishment to the rest of the students. ",,,,,"The new electronic newsletters are a huge help. Besides eliminating wasteful paper usage, I love the google forms for lunches, the links to put purchases on FACTS accounts, etc. I also love the electronic school directory. Great improvement!! We bought a paper one as well.",Jr. High does well with information for grade level stewardship projects (like the Christmas presents for the adopted family) but not so much with academic material as stated before. First Grade info. has been awesome.,,Not answering because my husband does this.,,"The top three strengths would be: its solid academic level,  its Catholic character,  and its desire to always keep improving the school culture and academic level. ","Two areas where SJGS can improve are: meeting the needs of highly proficient learners and generating an atmosphere of mutual respect among students in the Jr. High. I would like to have a greater sense that my 7th grader is ""known"" by the teachers and both appreciated and pushed by them, but I am not sure that is a realistic desire given the overwhelming time constraints the teachers face. ","We think that this year at SJGS has been one of the most encouraging. We are very glad that the ""Health Works"" component has not been offered this year and are also relieved that ""Inner Challenge"" was discontinued. We went to the Theology of the Body parent meeting and think that will be an excellent investment of class time and resources. It feels like a new ""springtime"" has come to the school and the things that are not working well can be let go of and new endeavors can be tried. We would want a greater confidence that teachers who do not excel in the classroom would receive additional training/resources or would be let go. We would want the Spanish program to actually teach the students enough Spanish that they could enter Spanish 2 accelerated in high school.  Overall, we are grateful for St. Joe's and we recognize that no school is perfect. "
,,,,,,,,,,,,,,,,,,,,My son loves going to school every day. The environment is caring and supportive in most ways. The extra resources available to students who need extra support with their learning is outstanding.,"Sometimes I feel the teaching methods are a little ""old school"". Memorizing massive amounts of information for the students to then be tested on isn't really what learning is all about and is not engaging.",
,,,,,,,,,,,,,,,,,,,,,,
"My kindergartner is old for her grade due to her birthday being at the end of August. I'd say she is not challenged in some parts of the curriculum, but she is showing above average on all assessments. It is my hope that the teachers are able to customize the curriculum as much as possible to keep all students engaged. (I know I have a completely biased opinion, but I tell her all the time she could be in 1st grade, maybe not in all areas but at least a few.)",,,,,,Very quick but academically informative.,,,,,,"It's really difficult for families who both have little ones at home and are on tight budgets to be able to volunteer since the little ones are not able to come along. It would be REALLY helpful for childcare to be available. For example, it seems that lunch room and playground monitors are always in short supply. If someone could volunteer to watch toddlers during those times, at the Ackles Center or some other room that is not used during that hour, I bet there would be a lot more moms available to help out with the grade school children.",,,,"Sometimes the homework websites are not updated daily, so if my 4th grader forgets to write his assignments in his assignment notebook, I can't help him figure out what he needs to do.
",,,,"Cohesive community led by enthusiastic faculty, staff, and parent volunteers; location being in the East Bank Village (easily accessible from all areas of greater South Bend); everyone is kind, friendly, and respectful to one another.",,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,"The junior high weekly homework assignment emails seem like a good idea, but only one or two teachers use it, and that seems to make the whole notification pointless.",,,,,,,,"I think this is very true outside the academic day, but if this question is referring to involvement in the classroom, then the answer is very true for K-2 and not very for junior high.  On the upper floors, the only time parents interact with the kids is to chaperone field trips or drive to/from service projects.",,,,"It's junior high.  The kids need to be responsible for their work, not the parents.",,,,"Academics, Teachers, Curriculum",,
,,,,,,,,,,,,,,,,,,,,"A strong, welcoming community. High academic standards. Some very kind teachers.","I did not care for the pressure for the children to participate in the ""Right for Life March"". There are sometimes angry protesters on both sides and I wasn't comfortable with it being safe.",I appreciate the communication and the many chances for parents to communicate our points of view.
,,,,3rd grade teachers are excellent at communication with parents!,,,"I strongly prefer the teachers do an actual presentation and overview during back to school night, rather than just be available for questions.",,,,,,,,,,,,,"Christ centered education, caring community, engaging teachers/admin","I've been very pleased with the K-3 program and teachers, but do hear that some of the teachers in grades 4-8 aren't as strong and that concerns me as my children move toward those grades.","We are very happy with St. Joe and have been pleased with the transition from Mrs. Wiwi to Mr. Azar.  Mr. Azar seems very committed to the school, energetic and open to dialogue with parents.  Thank you for your dedication to our children!"
,,,,Closer to 1.5,,,,,,,,,,,,,,,,"Their grade 3 teachers, new gym, the secretary ","Teachers, Teacher communication, teacher morale",The old hot lunches should be brought back. 
,,,,,,,,,,,"Grateful that my child has had the opportunity to join choir and chess club (Chess! Who would have ever predicted?), and I am so excited for Girls on the Run!","Many opportunities, yes, and I'd love to participate more, but it is pretty challenging to find a way to volunteer without my younger children (due to diocesan policy). I'd love to help on a field trip or with a classroom activity, but if the littles can't come with me, I am unavailable. Maybe once they're all in school..",,,I honestly don't use it much..,Sometimes too frequent..,I rely on this heavily!,,"Process is clear, and I like using FACTS a lot better than writing individual checks every week.","Family, academic reputation, Catholic foundation","We have been very disappointed with the hot lunches this year. I'm sure the ordering process is a lot easier, coming from one place rather than many, but my third grader who eagerly looked forward to nearly every hot lunch day for the last three years now only chooses to order one or two per month. Perhaps a different location next year?","We LOVE family groups! I love that my child gets to know kids from all grades, and is with the same kids from year to year. I think it gives her broader perspective and helps her build relationships. Please continue that!"
,Classes are too big!  27 kids in K-2 is insane.  My kids kid pre-k at St. Anthony's and none of the classes were that big.  Pius maxes out at 22.  Five fewer students would make a huge difference.  I would rather pay a little more (splitting up the tuition of the subtracted kids over the entire class) than have these huge classes.  ,,The first grade teachers are amazing.  Communication is great and they seem to love their jobs!,,,"I feel a little rushed, like I don't want to ask questions because the next parents are waiting outside.  ",,"The rumor mill is strong at SJ and, while I didn't have kids impacted, more background into why the Right to Life March is such a focus would be helpful.  I support that it is a pillar of the Catholic faith but many things are and I struggle with why this is at the forefront.  Do all schools in the Diocese go? What other field trips are on the books to highlight our faith?  These are things that should be highlighted in the news item mentioning the march.  I am in support if it is a holistic approach.  But this seems like highlighting one, highly political and polarizing, view of the church. ",Being kind and how to treat one another-absolutely.  But (and I struggle with this myself) could be better about how to teach kids to be spiritual and how to turn to God for support.  ,,,,,,,,,,,"Caring staff, Catholic faith and strong and committed families","It seems that people are fearful.  I know that I am.  You hear ""things are changing"".  ""It's not what it used to be"".  We lost several great teachers.  Many great families have left and Stanley Clark, Pius and PHM weigh on my mind as being stronger academically.  What are we doing to attract and retain the best and brightest staff?  It has to be more than a tuition benefit for their kids.  What can parents do to help?  Choosing a Catholic school is extremely important to me but this comes secondary to a stellar academic education.  We cannot rest on our laurels.  ",
Could be more challenging for my 5th grader particularly in Math and Science,,The Science curriculum before 6th grade could be improved especially in K-3,,There is not consistency in how teachers communicate--some keep up their website while others are sporadic. The teachers who do communicate do so very well. ,,Teachers are always well prepared,"It is unclear if you are supposed to go to the homeroom teacher only; all teachers, should students come?, how do I get information if I don't go",,,,Prior to 5th grade the variety of opportunities especially for k-3 children is very limited. It would be great to be more than an athletic school--what about art enrichment? Languages? As a parent I would be willing to pay for after school activities.,,"It takes a great deal of time to ""break in"" to the SJS community but the Ambassador program has the potential to change this",,,Depends on the teacher--this year communication has been great; last year was inconsistent,,,"Love using FACTS but their online portal is hard to navigate (which is not SJS's fault). It takes many clicks to just fin out  which ""incidental"" expenses I am paying for",Catholic Identity; Competency of Faculty; Parent Involvement,Technology; Communication more consistent; Differentiated Instruction,
,"Teachers have been very attentive to one of my children, who has suffered from a reading disorder. Getting him on track early was crucial to his academic achievement, and we are very grateful for their help.",,,,,,"Helpful to meet the teacher. The content of the classroom presentation isn't that important--I'd get the same information from the written summary, and I'm diligent about always reading those communications. When I'm at the back to school nights, I'm reading the teacher's attitudes and dispositions to get a feel for how they manage a classroom and their communication and organizational skills. This helps me establish expectations with each of my children.",,"I've been a little disappointed in this area, though I am hopeful that the new administration will improve this aspect of life at St. Joe. In the past, it seemed like the kids all knew what to do to stay out of trouble, but these were external controls--hoops for them to jump through. When I saw them on the playground or on the court during athletics--when true character shines through--I was surprised to find a sense of entitlement and exclusion. A big indicator for me is their Mass participation. I'd love to go to Mass with my kids on Wednesdays, but it sucks the life out of me. I'm the only one singing or saying a response. We have to explicitly teach our kids that we, as a family, participate at Sunday Mass differently than they do at school Mass--we make sure they are sharing their voices and participating fully. I invite you to sit in the back and just observe the students as they walk in. Count how many of them genuflect fully--you'll be able to count them on one hand. Most do a quick little hop and vaguely wave their hands around their face and chest. My read of this is that the culture at the school had been built around behavior modification--keeping kids on track--rather than internalizing character. If they were being taught true reverence, they'd approach the Eucharist differently.","I think the current discipline process (stop and reflect) is effective and well-executed by the teachers. The kids get a clear indication when they've crossed a line, and they feel the weight of that, yet the teachers are clear to contextualize it correctly so that they are not burdened by disappointment.","I'm impressed with the offerings at the school overall. I'm a little disappointed in the communication and organization around the athletics program, however. It always seems like teams are being thrown together at the last minute. Also, in my opinion, the past administration did not do enough to involve boys in leadership positions. My hope is the new administration will improve on this front. We have an older child who graduated 8th grade several years ago and during the graduation activities, I did not see one single boy involved in a presentation or performance--not even as lector or carrying the gifts during the graduation Mass. It was shocking, and I raised it with the past principal--she said that they take the volunteers who step forward. Girls at this age are far more willing to take on public roles of leadership because they are more verbally advanced than boys--and the school culture is dominated by women, so they feel supported. It is no less important for boys to learn leadership, and it is my hope that the new administration will be more proactive in cultivating leadership in boys at the school.",,,"I always tell people that SJGS has excellent academic preparation, which is the most important factor for us. I always modify that recommendation by saying that we are disappointed in the culture of the school (see answers above), but I think this might be changing, and I am hopeful.",,,,,,"Academics, mission-driven teachers, connection to Holy Cross","Culture of character development (especially at school Mass), athletic program communication, leadership opportunities for boys",The new gym has been a very good contribution to the life of the school and parish. Well worth the investment.
,,,,,,,,,,,,,,,,"We've had very positive experiences with this throughout, though it is not a strength of the fourth grade, and this is particularly a jolt as it follows the third grade which communicates home a LOT.  ",,,,Catholic and loving community; Integration into Parish; Academics,Resources for above grade level children,
,,,,,,,,,,,,,,,,,,,,"Community, Parish-School relationship, Teachers","Educational Materials, Curriculum, Higher academic rigor",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Strong culture of academic rigor built over time, caring teachers, strong leadership from staff & parents.","Better connections/collaborations to St. Joseph High School, more diverse groups of HASA for different activities, year-end Olympics great, but include more parents as helpers(& even have Adult/Teacher/Staff team for a few events)",
,,,,,,,,,,,,,,,,,,,,Catholic Curriculum / Academic Rankings  / Community Involvement,Increased Parent/teacher involvement in social issues / More classroom options for students with learning disabilities ,"I do not support quiet lunch.  These kids are quiet all day in class and this should be a social time, along with recess.  I understand they have to eat, however, the strict enforcement and penalties are excessive.  I have witnessed this firsthand and think the rules need to be loosened a bit at lunch."
,,,,,,,,,,,,,,,It would help if teacher HW pages were up by the start of each week - they very commonly lag behind,,,,,"Catholic identity
great community
committed teachers",none!,
"Curriculum in general - not homework, which seems excessive",,,,,"Grades are just one part of the process, and to have to use Power School and check online is not something that we would do.",,,,,,,To a detriment of overinvolvement,,,,,,,,"Location, Location, Location","Blatant Socioeconomic Discrimination, Having students required to spend extra prep session time (and cost) outside of school for religious sacraments instead of infusing it with the religion courses, Over-involvement of parents",
,I'm not aware of any resources or programming offered for high ability learners.,"I've seen some schools with some pretty neat STEM labs, tools, materials, etc. Install a large curtain on the gym mezzanine and you could perhaps design a nice STEM lab? Just a thought...",,An occasional (maybe once per semester) email/note about just my student would be welcome. Such a note might indicate some positive feedback as well as areas to improve. It could even be included in a progress report.,"Some written commentary would be nice to see, as opposed to just numbers and checkboxes.",15 rushed minutes once a year always seems inadequate.,,,"I think a more cohesive framework of character development is needed across the school, one that aligns closely with a well-defined and easily understood mission taken from the principles of Holy Cross. All of our Christian formation and character development programs should align with the framework, tying back to the mission and principles, and teachers and staff should be fluent in the common language of this framework. Some of this probably exists to a degree, but if so, it is fragmented and not well communicated or understood by students and parents, and perhaps even teachers and staff. A framework will provide consistency. A number of public schools seem to rally behind catchy mottos like ""Show Respect. Make a Difference. Set the Bar High"" or â€œWe Help Each Other."" Something like this with reference to our Catholic faith and Holy Cross tradition could be part of this framework.","Again, a character development framework would provide a consistent mechanism.","I think the after school program could be used as a mechanism to create a more extensive enrichment program, with better coordination and more offerings, and making better use of all the school's spaces. Many top schools offer such programming and I think this could a great next step for St. Joe. Fees might need to be high, but perhaps there would be financial aid resources. In the end these programs would benefit our overall academic program and achievement. One such example: http://www.da.org/page.cfm?p=606","Perhaps too much so? The number of volunteers sought for recess, lunchroom, and lunch serving seems overwhelming in addition to other volunteer needs. Plus, a lot of other school volunteering goes on outside the realms of HASA.",,,,,,,,Catholic identity. Academic achievement. Caring teachers and staff.,"1. Add resources, programming, and enrichment for high ability learners. 2. Build a framework with a goal of becoming a model school for Catholic character development in students. 3. Improve the hot lunch program by providing kid-friendly meals and perhaps having paid staff rather than just parents. Also, let the kids talk at lunch and perhaps give them more time to eat.","Perhaps a solution to creating more energy from students at weekly mass: find and use a more kid-friendly (i.e. more upbeat) mass setting. Then find (and use often) hymns that kids like to sing -- less variety, more consistency, more catchy melodies."
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"The academic reputation can't be argued with, but that comes from a great curriculum and teaching methodology. School community/ culture. Catholic Identity and Education.",Cost. ,
,"We are extremely grateful for the extra resources (resource room, fast forward, etc) that you've provided. Ana Maria got our son rolling with these last year and they have made an enormous difference. Thank you. The change to the speech program is a bit disappointing, but we understand the constraints involved.",,,,,,,It's a little hard to judge b/c I don't know exactly what the content is. ,,,"We're happy about chess, scouting, etc. There are some obvious limits as a small private school (ex: sports), but that's ok...there are other options.","We see lots of opportunities to be involved, and are very grateful for them. (Small complaint: continuing to call the parent helpers ""room mothers,"" as I've heard teachers and others say, is a bit ridiculous and self-fulfilling.)","It's a bit cliquish, though I'm not sure that's the school's fault. For example, our child has never been invited to a birthday party and has begun to notice. ",,,,,"Admissions for new families under the Wiwi regime was highly problematic. She exercised her judgement arbitrarily and without explanation. Indeed, we were not admitted the first year we applied as a new family in town. She kept changing her story. It started with ""we'll let you know after the current families register""; it them became ""we'll let you know after easter""; etc. This went on for months. We discovered later that summer that another child in the same grade in the same year as a new family WAS admitted b/c the parent exercised some special influence. This was deeply frustrating and ultimately disruptive to our child's education. My recommendation would be to institute a fairer and more transparent procedure for new families. Of course, we haven't experienced admission as a new family under Azar, so things may be different.",,"Academic reputation, Catholic identity, location",S/T ratio,We're very happy with Azar's change in the lunch program--the food choices are much healthier and our child enjoys the options. 
,,,,,I can barely figure them out.  Just one sheet with a grade would be easier.,It would be nice to have another in February or march,,,,,,,,,,,I really do miss the hand outs for extra things like bake sales.  I keep forgetting those because it's in an email not a hard copy on the counter.,,,"Resources, staff, atmosphere ",It would be helpful to have more information on smaller activities such as girl scouts.,
,,,,,,,,,,,,,,,,,,,,,Remain Catholic and true to the teaching of the Church.  ,
,,,,,,would like a Spring one as well,,,,,,,,,,,,,,"curriculum, family involvement, Faith-based curriculum",,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Catholic identify, strong community, academic rigor ",,
I would love for their to be more book reports and public speaking.  ,"I have a concern with the class sizes.  I would love more individualized/personalized instruction.  Additionally, more collaboration over technology assessments and programs would be great.",Would love to have more options with e-learning programs so that the kids can have custom challenges to advance at their own level.,"The rollover of staff last year was concerning, even though I understand there are a variety of factors.  I would love to be able to pay the teachers more, and to get aids for their classrooms to help with more individualized instruction.","I feel like this is driven by report cards.  Would be great to be able to check in on progress weekly or bi-weekly, especially when you have a child with special needs like ADHD.  Our nieces use an online platform where grading of assignments and other communication are available for a parent to login to at any time.  I think that would be great!",I find the report cards a bit confusing.  If they were online it would be great to see the progression historically over all grades.,"They are fine.  I think an improvement would be to move to a 360 model where we meet with all of our child's teachers at once, with the child, and talk about their strengths and areas of improvement opportunity.","These are great and help build community.  It would be nice to have a ""networking reception"" in the gym afterwards/during to help support this.",No improvements here!,Great!,"It would be great to have a similar system for all grades.  We are dealing with golden tickets - which are good, and gold slips - which are bad, from two different grades our children are un, which can be a bit confusing.","Would love to see more options here.  It seems activities like chess club and Lego league are primarily driven by parents, so maybe a concerted effort to get parents to offer up sessions, even just mini sessions if not a full club, to take advantage of their interests and talents.","We do, but I would like for opportunities for a more meaningful involvement.  We have so many highly educated parents.  It would be great to get them in the classroom, helping with the teachers plan or even offering special sessions that leverages their expertise.  I continually feel guilt about my inability and lack of interest to do recess.  Coupled with fond memories of my own recess aid as a kid (Mrs. Brinker, who would come to our classroom on our birthday and give us ""spankings"" and bring us bubble gum) - I would love for the school to hire this.  Continuity would be awesome!",The community of SJGS is incredible!,Based on the above.,"Teacher pages are not updated frequently, there is not an opportunity to track your child's progress, and their is no method for 2-way communication through this forum.  Basics, like a school calendar, are nice, but I feel like we could be doing so much more.","Newsletters are great, but knowing what is coming for the week with more notice would be so appreciated!  A previous school our kids were enrolled in provided the packet of homework for the week.  This offered so much more control in how to optimize thoughtful time to complete assignments and to supplement.",Love the newsletter.  Love that it is digital.  Consistent and informative.,,"Yes, but...we can do more with communicating about the discounted tuition and encouraging families that don't need this option to ""invest"" that money back into the school.  ","Community, emphasis on values, caring staff","Facilitating more personalization through smaller class sizes and technology, more transparency on student progress through technology, leveraging the fact that we have one of the top universities in our backyard with many parents working there - get the kids to ND more and get the parents in the classroom at St. Joe more.",
,I think there are inadequate resources for children who need extra help. ,,The teachers are wonderful!,,"The K-3 report cards, without grades, are inscrutable.  And the graphs are VERY difficult to read because they are usually not in color and it is hard to tell which bar is which.",Love the fall conferences.  Why don't we have them in spring too?,,,,,,,,,"The homepage is helpful, but the teacher webpages are not maintained.",,,,,"Catholic identity, community, education","Better learning resources for students who struggle (e.g., with ICEPs) and better supplemental materials for students at the top of the class who can do more.",Thanks for all you do!
,,,,,,,,,,,,,,,,,,,,"Community, Interactions w/other parishioners, education",Teacher communication,
,,,,,,,,,,"When my youngest gets an SR or 5 minutes off of recess, I don't know why. I have to rely on what he tells me.",,,,,,,,,,"The welcoming community, the academics, the support",Discipline communication,
,,,,,,,,,,,,,,,,most,,,,"academics, community, progressive Catholics",,
"I am not thrilled with the 4th grade math instruction/program.  I feel that by 4th grade, all math facts should be mastered yet the kids were still doing addition in Otter Creek in November!!",,,,There is a definite difference between each grade and how much communication is received.  I am not at all satisfied with the 4th grade teachers' communication about progress or what the kids are doing in class.,,"Not this year!  I did get questions answered after the conference, but the actual conference itself left me confused about what 4th grade is about!  Kindergarten conferences were great, though!!",,,,,,,,,,Kindergarten- yes! 4th grade- not so much.,,,,"Community/other families, language arts program, Mrs. Sherwood (we love her)!!","1.Hot lunch choices/more days
2.The math program!  Maybe use a different one??  Math Tracks?",
,,,,,,,,,,"Understandable, but not all that effective.  Stop signs and consequence model are not effective for long term behavioral change.  Positive reinforcement much more effective than aversive conditioning according to scientific literature (see work by Kazdin, etc.)",,,,,,,,,,"School community/culture, catholic identity and education","Student/teacher ratio, Evidence based practices",
I would like to see more efforts to differentiate instruction.,,,,,,,,,,"I am concerned about some of the behavior management techniques. First, I'm concerned about punishing children by holding them back from recess. Recess is a key part of how students create community with their classmates, and the physical activity is helpful for promoting learning and good behavior in the classroom. Second, I'm concerned about segregating children who misbehave to their own desk in the classroom (instead of keeping them at a table grouping with the other children). Segregating children to their own desk removes them from the positive community aspect of the table groupings and highlights that they're different from other children. I would encourage more use of shaping and positive reinforcement techniques instead of punishment and isolation. ","The specials are wonderful, especially music, art, computers, and library.",Excellent opportunities for parent involvement.,,It would depend on the friend's priorities and their specific child's temperament and learning needs.,,,,,,"(1) school community, (2) parent involvement, (3) dedicated and engaged principal","First, I would like to see more efforts to differentiate instruction to meet individual student needs, so all students can be challenged appropriately. Second, I would like to see more focus on evidence-based instructional practices and classroom management techniques. Specifically, I would like to see more opportunities for children to investigate, inquire, imagine, and discuss ideas... and more opportunities to problem solve and work together with a partner toward a common goal. Third, I wish teachers were encouraged to think critically about the ""hidden curriculum"" and how it may unintentionally promote unhelpful gender, cultural, and/or racial biases. For example, some teachers refer to ""boys and girls"" and call them separately for particular tasks (e.g., ""all the boys line up""), and there are separate bins for boys' and girls' lunchboxes. These are unhelpful practices that signal to children that ""boys versus girls"" is an important classification to make and that the two groups of children should be treated differently. I have also heard from a friend with children in a higher grade that some teachers are still using outdated sentence stems for vocabulary words that promote gender stereotypes (e.g., ""the woman wearing an apron in the kitchen...""), and I know some other teachers are using activities and showing images that may unintentionally promote cultural and/or racial stereotypes. I know everyone at SJGS has good intentions and nobody would explicitly promote stereotypes, but implicit learning processes play a much greater role in the development of biases and stereotypes, so it's important to keep a critical eye toward some traditional practices.",Thanks for seeking our feedback!
,,,,,,,,,,,,,,,,,,,,,,
I think less homework would be best,,,,Disappointed with middle school.  Even with power school it is hard to figure out what is going on.,But I don't want to rely on that once in awhile if there are problems.,The middle school conference was silly.  I would like to meet with the teacher teaching the class my child has problems with.  I did like the questions/answer sheets but that could have been sent home.,Just give me the paperwork.  ,,,,Very happy to see more non-sport activities.,,,,,,I love this so much better than the one sent home.,,,,,
,,,We have had uniformly EXCELLENT teachers for our children at SJGS. Staff have always been EXTREMELY kind and helpful to our children. ,,,,,,,,,,,,,,,,,1) Quality of students/families attracted to the school. 2) Dedication of the faculty and staff to the education of the children. 3) Connection to a vibrant Catholic parish community.,,"It would be amazing if our kids experience teachers of as high a quality in the later grades as they have in K, 1, and 2 so far. We have had terrific experiences every year. "
