"Company","Sector","Resolution Summary","Issues","Filer","Status","Year","Memo"
"Ameren Corporation","Electric Power","Adopt a proxy access bylaw 2016","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Withdrawn; Company will address",2016,"NOT"
"CMS Energy Corp.","Electric Power","Adopt a proxy access bylaw","Governance","New York City Office of the Comptroller","Withdrawn; Company will address",2016,"NOT"
"Peabody Energy Corp.","Mining & Resources","Adopt proxy access bylaw","Governance","New York City Office of the Comptroller","Withdrawn; Company will address",2016,"NOT"
"Dominion Resources, Inc.","Electric Power","Adopt a proxy access bylaw","Governance","New York City Office of the Comptroller","Withdrawn; Company will address",2016,"NOT"
"NiSource","Electric Power","Adopt a proxy access bylaw","Governance","New York City Office of the Comptroller","Withdrawn; Company will address",2016,"NOT"
"Xcel Energy Inc.","Electric Power","Adopt a proxy access bylaw","Governance","New York City Office of the Comptroller","Withdrawn; Company will address",2016,"NOT"
"Restaurant Brands International Inc.","Food and Beverage","Set goals to reduce impacts on forests and human rights","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Human Rights","Province of St. Joseph, Capuchin Order","No Vote For Technical Reasons",2016,"NOT"
"NRG Energy, Inc.","Electric Power","Adopt a proxy access bylaw","Governance","New York City Office of the Comptroller","Vote: 94.8%",2016,"NOT"
"TJX Companies, Inc.","Retail","Set targets to source renewables","Climate Change; 
                    
                    
                        Renewables","Zevin Asset Management","Omitted",2016,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Review public policy advocacy on climate change","Climate Change; 
                    
                    
                        Public Policy","The Needmor Fund","Withdrawn; Company will address",2016,"NOT"
"Best Buy Co. Inc.","Big Box/Retail","Set targets to increase renewable energy sourcing or production","Climate Change; 
                    
                    
                        Renewables","New York State Comptroller","Withdrawn; Company will address",2016,"NOT"
"Devon Energy Corporation","Oil and Gas","Delink oil and gas reserves replacement from executive comp.","Climate Change; 
                    
                    
                        Governance; 
                    
                    
                        Link Executive Compensation To ESG; 
                    
                    
                        Carbon Asset Risk","As You Sow","Vote: 3.8%",2016,"NOT"
"Mastercard Incorporated","Financial Services","Set GHG reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Trillium Asset Management","Withdrawn; Company will address",2016,"NOT"
"Carrizo Oil & Gas, Inc.","Oil and Gas","Report annually on minimizing impacts of fracking","Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity; 
                    
                    
                        Methane Emissions","As You Sow","Withdrawn; Company will address",2016,"NOT"
"PPG Industries Inc.","Chemicals","Assess feasibility of incorporating sustainability metrics into executive comp","Governance; 
                    
                    
                        Link Executive Compensation To ESG","Trillium Asset Management","Withdrawn; Company will address",2016,"NOT"
"Freeport-McMoRan Copper & Gold Inc.","Mining & Resources","Report on actions to reduce impact of enhanced oil recovery","","Newground Social Investment","Vote: 22%",2016,"PDF"
"Newfield Exploration Co.","Oil and Gas","Report annually on minimizing impacts of hydraulic fracturing","Community Impacts; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity; 
                    
                    
                        Methane Emissions","As You Sow","Withdrawn; Company will address",2016,"NOT"
"ConocoPhillips","Oil and Gas","Review public policy advocacy on climate 2016","Governance; 
                    
                    
                        Political Spending; 
                    
                    
                        Public Policy","Benedictine Sisters of Mount St. Scholastica","Vote: 24.8%",2016,"NOT"
"Chevron Corporation","Oil and Gas","Annually disclose direct and indirect lobbying","Governance; 
                    
                    
                        Political Spending; 
                    
                    
                        Public Policy","The Needmor Fund","Vote: 27.4%",2016,"NOT"
"FirstEnergy Corp.","Electric Power","Adopt a proxy access bylaw 2016","Governance","New York City Office of the Comptroller","Withdrawn; Company will address",2016,"NOT"
"Devon Energy Corporation","Oil and Gas","Adopt a proxy access bylaw 2016","Governance","New York City Office of the Comptroller","Withdrawn; Company will address",2016,"NOT"
"Southern Company","Electric Power","Adopt a proxy access bylaw 2016","Governance","New York City Office of the Comptroller","Withdrawn; Company will address",2016,"NOT"
"Dominion Resources, Inc.","Electric Power","Report on physical risks of climate change 2016","Climate Change","Pam Morgan","Vote: 22.8%",2016,"PDF"
"AES Corporation","Electric Power","Adopt a proxy access bylaw 2016","Governance","New York City Office of the Comptroller","Withdrawn; Company will address",2016,"NOT"
"PPL Corporation","Electronics","Adopt a proxy access bylaw 2016","Governance","New York City Office of the Comptroller","Withdrawn; Company will address",2016,"NOT"
"Suncor Energy","Oil and Gas","Issue annual disclosure on lobbying","Political Spending; 
                    
                    
                        Public Policy","SumOfUS","Vote: 40%",2016,"NOT"
"Freeport-McMoRan Copper & Gold Inc.","Mining & Resources","Adopt a proxy access bylaw 2016","Governance","New York City Office of the Comptroller","Withdrawn; Company will address",2016,"NOT"
"Noble Energy, Inc.","Oil and Gas","Amend proxy access bylaw 2016","Governance","New York City Office of the Comptroller","Vote: 38.4%",2016,"NOT"
"WEC Energy Group, Inc.","Electric Power","Adopt a proxy access bylaw 2016","Governance","New York City Office of the Comptroller","Vote: 74.7%",2016,"NOT"
"Murphy Oil Corporation","Oil and Gas","Adopt a proxy access bylaw 2016","Governance","New York City Office of the Comptroller","Withdrawn; Company will address",2016,"NOT"
"DuPont","Chemicals","Issue a report on reducing deforestation associated with supply chain","Forests","Clean Yield Asset Management","Vote: 23%",2016,"PDF"
"Tesoro Corporation","Oil and Gas","Annually disclose direct and indirect lobbying 2016","Governance","AFL-CIO Reserve Fund","Vote: 19.7%",2016,"NOT"
"Alphabet Inc.","ICT and Media","Annually disclose lobbying","Governance","Walden Asset Management","Vote: 12.2%",2016,"NOT"
"CONSOL Energy Inc.","Mining & Resources","Annually disclose direct and indirect lobbying 2016","Governance","The Nathan Cummings Foundation","Vote: 18.6%",2016,"NOT"
"PNM Resources","Electric Power","Issue science-based GHG goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","John Doe","Vote: 33.4%",2016,"PDF"
"PNM Resources","Electric Power","Issue annual sustainability report 2016","Sustainability Reporting","John Doe","Vote: 40.6%",2016,"PDF"
"Kroger Co.","Food and Beverage","Assess feasibility of setting renewable energy sourcing targets","Climate Change; 
                    
                    
                        Renewables","As You Sow","Vote: 28%",2016,"PDF"
"Pfizer Inc.","Healthcare, Pharmaceuticals","Annually disclose direct and indirect lobbying 2016","Governance; 
                    
                    
                        Political Spending; 
                    
                    
                        Public Policy","The Christopher Reynolds Foundation","Vote: 30.7%",2016,"NOT"
"Gulfport Energy Corp.","Oil and Gas","Report on methane emissions risk management","Climate Change; 
                    
                    
                        Methane Emissions","California State Teachers' Retirement System","Vote: 47.6%",2016,"NOT"
"CVS Health","Retail","Set targets to increase renewable energy use","Climate Change; 
                    
                    
                        Renewables","Zevin Asset Management","Omitted",2016,"NOT"
"Facebook, Inc.","ICT and Media","Issue an annual sustainability report","Sustainability Reporting","New York State Comptroller","Vote: 8.9%",2016,"NOT"
"Celgene Corporation","Healthcare, Pharmaceuticals","Assess feasibility of integrating sustainability metrics into exec comp","Link Executive Compensation To ESG","As You Sow","Withdrawn; Company will address",2016,"NOT"
"PepsiCo, Inc.","Food and Beverage","Set goals to increase renewable energy use","Climate Change; 
                    
                    
                        Renewables","Zevin Asset Management","Vote: 8.1%",2016,"NOT"
"Amazon.com Inc.","Technology","Issue a sustainability report including GHG reduction goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Calvert Research & Management","Vote: 27.3%",2016,"NOT"
"Vertex Pharmaceuticals Incorporated","Healthcare, Pharmaceuticals","Assess feasibility of integrating sustainability metrics into exec comp","Link Executive Compensation To ESG","As You Sow","Vote: 18.6%",2016,"NOT"
"Rio Tinto Pic","Mining & Resources","Strategic Resilience for 2035 and Beyond","Climate Change; 
                    
                    
                        Coal; 
                    
                    
                        Carbon Asset Risk","Rio Tinto Pic","Vote: 99.2%",2016,"NOT"
"Anglo American","Mining & Resources","Strategic Resilience for 2035 and Beyond","Climate Change; 
                    
                    
                        Coal; 
                    
                    
                        Carbon Asset Risk","The 'Aiming for A' Coalition","Vote: 96.3%",2016,"NOT"
"Glencore Plc","Mining & Resources","Strategic Resilience for 2035 and Beyond","Climate Change; 
                    
                    
                        Coal; 
                    
                    
                        Carbon Asset Risk","The 'Aiming for A' Coalition","Vote: 98.1%",2016,"NOT"
"Discovery Communications, Inc.","ICT and Media","Link Exec Comp to Sustainability Performance","Climate Change; 
                    
                    
                        Governance; 
                    
                    
                        Link Executive Compensation To ESG","Clean Yield Asset Management","Vote: 9.5%",2016,"PDF"
"CenterPoint Energy, Inc.","Utilities","Disclose direct and indirect lobbying","Governance; 
                    
                    
                        Political Spending; 
                    
                    
                        Public Policy","Zevin Asset Management","Withdrawn; Company will address",2016,"NOT"
"Berkshire Hathaway Inc.","Insurance","Report on insurance risks from climate change","Climate Change","Nebraska Peace Foundation","Vote: 11.7%",2016,"NOT"
"NextEra Energy, Inc.","Electric Power","Report material risks of sea level rise","Climate Change","Individual","Vote: None%",2016,"NOT"
"Suncor Energy","Oil and Gas","Regularly disclose preparations for low-carbon future","Climate Change; 
                    
                    
                        Carbon Asset Risk","NEI Investments","Vote: 98.2%",2016,"NOT"
"Intercontinental Exchange, Inc.","Financial Services","Sustainability report on ESG risks and opportunities","Sustainability Reporting","Calvert Research & Management","Vote: 29.1%",2016,"PDF"
"Antero Resources","Oil and Gas","Methane monitoring and management disclosure","Air Pollution; 
                    
                    
                        Climate Change; 
                    
                    
                        Methane Emissions","Mercy Investment Services, Inc.","Withdrawn; Company will address",2016,"NOT"
"Pinnacle West Capital Corporation","Electric Power","Disclose political spending","Governance; 
                    
                    
                        Political Spending; 
                    
                    
                        Public Policy","As You Sow","Vote: 34.5%",2016,"PDF"
"J. M. Smucker Company","Food and Beverage","Report on how to increase renewable energy sourcing or production","Climate Change; 
                    
                    
                        Renewables","Trillium Asset Management","Vote: 28.4%",2016,"NOT"
"Sanderson Farms","Agriculture","Water Impacts - Operations and Suppliers","Supply Chain; 
                    
                    
                        Water Pollution","Calvert Research & Management","Vote: 27.4%",2016,"PDF"
"Liberty Media Corporation","Media","Sustainability reporting","Sustainability Reporting","Calvert Research & Management","Filed",2016,"NOT"
"FirstEnergy Corp.","Electric Power","Issue report annually disclosing lobbying","Political Spending; 
                    
                    
                        Public Policy","The Nathan Cummings Foundation","Vote: 27.7%",2016,"PDF"
"Coach, Inc.","Apparel","Achieve Net-Zero Greenhouse Gas Emissions by 2030","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Renewables","Jantz Management LLC","Filed",2016,"PDF"
"Exxon Mobil Corporation","Oil and Gas","Adopt a proxy access bylaw 2016","Governance","New York State Comptroller","Vote: 61.9%",2016,"NOT"
"Devon Energy Corporation","Oil and Gas","Report on direct and indirect lobbying","Political Spending; 
                    
                    
                        Public Policy","Connecticut Office of the State Treasurer","Vote: 31.1%",2016,"NOT"
"Chipotle Mexican Grill, Inc.","Food and Beverage","Issue annual sustainability report 2016","Sustainability Reporting","Domini Impact Investments LLC","Vote: 43.5%",2016,"NOT"
"Emerson Electric Co.","","Adopt time-bound, quantitative GHG reduction targets","Energy Efficiency (industrial); 
                    
                    
                        Greenhouse Gas Emissions","Walden Asset Management","Vote: 34%",2017,"NOT"
"Google Inc.","Technology","Disclose direct and indirect lobbying","Governance; 
                    
                    
                        Public Policy","Walden Asset Management","Vote: 12.7%",2017,"NOT"
"Pfizer Inc.","Healthcare, Pharmaceuticals","Annually disclose direct and indirect lobbying 2017","Public Policy","The Christopher Reynolds Foundation","Withdrawn; Company will address",2017,"NOT"
"Costco Wholesale Corporation","Retail","Report on optimal management of food waste","Food Waste","Trillium Asset Management","Withdrawn; Ongoing dialogue",2017,"NOT"
"Emerson Electric Co.","Electronics","Regularly disclose political spending","Governance; 
                    
                    
                        Political Spending; 
                    
                    
                        Public Policy","Trillium Asset Management","Vote: 40.3%",2017,"NOT"
"Emerson Electric Co.","Electronics","Issue annual sustainability report 2017","Sustainability Reporting","Mercy Investment Services, Inc.","Withdrawn; Company will address",2017,"NOT"
"Tyson Foods Inc.","Food and Beverage","Address trends related to plant-based protein","Supply Chain","Green Century Capital Management","Withdrawn; Company will address",2017,"NOT"
"United Parcel Service, Inc.","Transportation","Disclose direct and indirect lobbying","Governance; 
                    
                    
                        Political Spending","Walden Asset Management","Vote: 19.7%",2017,"NOT"
"Hormel Foods Corp.","Agriculture","Adopt a water stewardship policy","Water Pollution","American Baptist Home Mission Society","Withdrawn; Company will address",2017,"NOT"
"Tyson Foods Inc.","Agriculture","Adopt a water stewardship policy","Water Pollution","Tri-State Coalition for Responsible Investment","Vote: 14.7%",2017,"NOT"
"Whole Foods Market, Inc.","Food and Beverage","Report on managing food waste","Food Waste","Trillium Asset Management","Vote: 30.4%",2017,"NOT"
"International Business Machines Corp.","Technology","Report on Direct and Indirect Lobbying","Public Policy","Walden Asset Management","Vote: 26.5%",2017,"NOT"
"Franklin Resources Inc.","Financial Services","Review proxy voting practices","Proxy Voting Policies","Zevin Asset Management","Vote: 4.5%",2017,"PDF"
"Apple","Technology","Net zero GHG emissions by 2030","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Jantz Management LLC","Omitted",2017,"NOT"
"Deere & Company","Machinery","Net zero GHG emissions by 2030","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Jantz Management LLC","Omitted",2017,"NOT"
"Nordson Corporation","","Sustainability reporting","Sustainability Reporting","Walden Asset Management","Withdrawn; Company will address",2017,"NOT"
"Bank of New York Mellon Corporation","","Proxy voting review report","Proxy Voting Policies","Daniel L. Altschuler 1986 Trust","Vote: 6.5%",2017,"PDF"
"Expeditors International of Washington, Inc.","Transportation","Linking executive compensation to sustainability performance","Link Executive Compensation To ESG","Sonen Capital","Vote: 21.8%",2017,"NOT"
"AT&T, Inc.","Communications","Lobbying Spending Report","Public Policy","Walden Asset Management","Vote: 35.5%",2017,"NOT"
"Occidental Petroleum Corporation","Oil and Gas","Review Public Policy Advocacy On Climate and Energy","Public Policy","The Needmor Fund","Withdrawn",2017,"NOT"
"Walt Disney Co.","Entertainment","Lobbying Disclosure Report","Public Policy","Zevin Asset Management","Vote: 36.8%",2017,"NOT"
"ConocoPhillips","Oil and Gas","Lobbying Disclosure","Public Policy","Walden Asset Management","Vote: 23.9%",2017,"NOT"
"BlackRock, Inc.","Financial Services","Proxy voting review report","Proxy Voting Policies","Walden Asset Management","Withdrawn; Company will address",2017,"NOT"
"JPMorgan Chase & Co.","Financial Services","Proxy voting review report","Proxy Voting Policies","Walden Asset Management","Withdrawn; Company will address",2017,"NOT"
"Devon Energy Corporation","Oil and Gas","Review Public Policy Advocacy On Climate and Energy","Public Policy","The Needmor Fund","Vote: 26.6%",2017,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Report Annually on Lobbying","Public Policy","United Steelworkers of America","Vote: 27.5%",2017,"NOT"
"Chipotle Mexican Grill, Inc.","Food and Beverage","Report on Integrating ESG into Executive Pay","Link Executive Compensation To ESG","Clean Yield Asset Management","Withdrawn; Company will address",2017,"NOT"
"Kraft Heinz Co.","Food and Beverage","Sustainability and nutrition reporting","Sustainability Reporting","Seventh Generation Interfaith Coalition for Responsible Investment","Withdrawn; Ongoing dialogue",2017,"NOT"
"AO Smith Corp.","Manufacturing","Issue a sustainability report updated annually","Sustainability Reporting","Trillium Asset Management","Withdrawn; Company will address",2017,"NOT"
"Dominion Resources, Inc.","Electric Power","Annually Disclose Lobbying","Public Policy","Congregation of Sisters of St. Agnes","Vote: 7.1%",2017,"PDF"
"Ameren Corporation","Electric Power","Report on ways to reduce harm from coal ash","Coal; 
                    
                    
                        Coal Ash; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity","Midwest Coalition for Responsible Investment","Vote: 46.4%",2017,"PDF"
"AES Corporation","Electric Power","Publish an assessment of portfolio risks under a 2 degree scenario","Climate Change; 
                    
                    
                        Carbon Asset Risk","Mercy Investment Services, Inc.","Vote: 40.1%",2017,"PDF"
"Kraft Heinz Co.","Food and Beverage","Report on Supply Chain Impact on Deforestation","Forests; 
                    
                    
                        Human Rights","Domini Impact Investments LLC","Vote: 13.1%",2017,"NOT"
"Wells Fargo","Financial Services","Linking executive compensation to sustainability performance","Governance; 
                    
                    
                        Link Executive Compensation To ESG","Unitarian Universalist Association of Congregations","Withdrawn; Company will address",2017,"NOT"
"Ameren Corporation","Electric Power","Publish an assessment of portfolio risks under a 2 degree scenario","Climate Change; 
                    
                    
                        Carbon Asset Risk","Mercy Investment Services, Inc.","Vote: 47.5%",2017,"PDF"
"Marathon Petroleum Corporation","Oil and Gas","Publish a transition strategy based on a 2 degree scenario","Climate Change; 
                    
                    
                        Carbon Asset Risk","Mercy Investment Services, Inc.","Vote: 40.9%",2017,"PDF"
"Occidental Petroleum Corporation","Oil and Gas","Publish an assessment of portfolio risks under a 2 degree scenario","Climate Change; 
                    
                    
                        Carbon Asset Risk","Wespath Benefits and Investments","Vote: 67.3%",2017,"PDF"
"Air Products & Chemicals Inc.","Chemicals","GHG goals and implementation plan","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Unitarian Universalist Association of Congregations","Filed",2017,"NOT"
"Discovery Communications, Inc.","Communications","Linking executive compensation to sustainability performance","Governance; 
                    
                    
                        Link Executive Compensation To ESG","Clean Yield Asset Management","Vote: 19%",2017,"NOT"
"T. Rowe Price Group, Inc.","Financial Services","Report on proxy voting policies and practices","Proxy Voting Policies","Zevin Asset Management","Vote: 9%",2017,"NOT"
"PepsiCo, Inc.","Food and Beverage","Assess feasibility of setting renewable energy sourcing targets","Climate Change; 
                    
                    
                        Renewables","Zevin Asset Management","Withdrawn; Ongoing dialogue",2017,"NOT"
"United Parcel Service, Inc.","Transportation","Assess feasibility of setting renewable energy sourcing targets","Climate Change; 
                    
                    
                        Renewables","Zevin Asset Management","Withdrawn; Company will address",2017,"NOT"
"Noble Energy, Inc.","Oil and Gas","Publish an assessment of portfolio risks under a 2 degree scenario","Climate Change; 
                    
                    
                        Carbon Asset Risk","Presbyterian Church (USA)","Vote: 24%",2017,"PDF"
"Bank of America Corporation","Oil and Gas","Reduce credit exposure to fossil fuel industry 2017","Climate Change; 
                    
                    
                        Coal; 
                    
                    
                        Carbon Asset Risk","Trillium Asset Management","Withdrawn; Ongoing dialogue",2017,"NOT"
"Schweitzer-Mauduit International","","Science-based GHG targets","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Province of St. Joseph, Capuchin Order","Withdrawn; Ongoing dialogue",2017,"NOT"
"Berkshire Hathaway Inc.","Real Estate","Measure, monitor, and set reduction targets for methane","Air Pollution; 
                    
                    
                        Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","Arjuna Capital","Vote: 10%",2017,"PDF"
"Chipotle Mexican Grill, Inc.","Food and Beverage","Issue an annual sustainability report","Sustainability Reporting","Domini Impact Investments LLC","Withdrawn; Company will address",2017,"NOT"
"United States Steel Corp.","Manufacturing","Science-based GHG targets","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Portico Benefits Services","Withdrawn; Ongoing dialogue",2017,"NOT"
"Walgreen Co.","","Include sustainability performance in executive compensation plans","Governance; 
                    
                    
                        Link Executive Compensation To ESG","Clean Yield Asset Management","Vote: 23.1%",2017,"NOT"
"Oceaneering International, Inc.","Oil and Gas","ESG reporting including GHG targets","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Withdrawn; Company will address",2017,"NOT"
"Verizon Communications Inc.","Telecommunications","Report on feasibility of science-based GHG targets","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Trillium Asset Management","Vote: 15%",2017,"NOT"
"Duke Energy Corporation","Electric Power","Carbon Asset Risk 2DS","Greenhouse Gas Emissions; 
                    
                    
                        Carbon Asset Risk","New York State Comptroller","Vote: 46.4%",2017,"PDF"
"Berkshire Hathaway Inc.","Real Estate","Analyze and report on climate-related exposures","Climate Change; 
                    
                    
                        Sustainability Reporting","Elaine Wells","No Vote For Technical Reasons",2017,"NOT"
"EOG Resources, Inc.","Oil and Gas","Adopt methane targets and disclose plans","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","Trillium Asset Management","Withdrawn; Company will address",2017,"NOT"
"Middleby Corporation","Food and Beverage","Sustainability report with GHG management","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Trillium Asset Management","Vote: 44.6%",2017,"NOT"
"Intercontinental Exchange, Inc.","","Report on market expectations for ESG disclosure","Sustainability Reporting","Domini Impact Investments LLC","Vote: 10.1%",2017,"NOT"
"CenterPoint Energy, Inc.","Energy","Disclose GHG emissions and manage methane emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","Calvert Research & Management","Withdrawn; Company will address",2017,"NOT"
"Berkshire Hathaway Inc.","Real Estate","Fossil fuel divestment","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Carbon Asset Risk","Nebraska Peace Foundation","Vote: 1.3%",2017,"NOT"
"Nucor Corporation","Mining & Resources","Science-based GHG targets","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Calvert Research & Management","Vote: 33.9%",2017,"NOT"
"Pinnacle West Capital Corporation","Electric Power","Disclosing monetary and in-kind expenditures on political activities","Political Spending; 
                    
                    
                        Renewables","As You Sow","Withdrawn; Company will address",2017,"NOT"
"Sempra Energy","Electric Power","Assess, monitor, and reduce methane emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions; 
                    
                    
                        Carbon Asset Risk","As You Sow","Withdrawn; Company will address",2017,"NOT"
"NRG Energy, Inc.","Electric Power","Address risk of stranded coal assets through scenario analysis","Climate Change; 
                    
                    
                        Coal; 
                    
                    
                        Carbon Asset Risk","As You Sow","Withdrawn; Company will address",2017,"NOT"
"Dominion Resources, Inc.","Electric Power","Evaluating the net greenhouse gas impact from each of the company’s current and planned biomass facilities","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Carbon Asset Risk","As You Sow","Withdrawn; Ongoing dialogue",2017,"NOT"
"Dominion Resources, Inc.","Electric Power","Publish an assessment of portfolio risks under a 2 degree scenario","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Carbon Asset Risk","New York State Comptroller","Vote: 47.8%",2017,"PDF"
"Xcel Energy Inc.","Electric Power","Asses risks of stranded assets due to climate change","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Carbon Asset Risk","As You Sow","Withdrawn; Company will address",2017,"NOT"
"FirstEnergy Corp.","Electric Power","Align business plan with 2 Degree Scenario","Climate Change; 
                    
                    
                        Coal; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Carbon Asset Risk","As You Sow","Vote: 43.4%",2017,"PDF"
"Entergy Corporation","Electric Power","Adapt its business model to significantly increase deployment of distributed-scale renewables","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Renewables","As You Sow","Vote: 35%",2017,"NOT"
"PNM Resources","Electric Power","Publish an assessment of portfolio risks under a 2 degree scenario","Climate Change; 
                    
                    
                        Carbon Asset Risk","Max & Anna Levinson Foundation","Vote: 49.9%",2017,"NOT"
"Kinder Morgan Inc.","Oil and Gas","Publish an assessment of portfolio risks under a 2 degree scenario","Climate Change; 
                    
                    
                        Carbon Asset Risk","First Affirmative Financial Network, LLC","Vote: 38.2%",2017,"PDF"
"DTE Energy Co.","Electric Power","Publish an assessment of portfolio risks under a 2 degree scenario","Climate Change; 
                    
                    
                        Carbon Asset Risk","New York State Comptroller","Vote: 45%",2017,"PDF"
"Anadarko Petroleum Corporation","Oil and Gas","Publish an assessment of portfolio risks under a 2 degree scenario","Climate Change; 
                    
                    
                        Carbon Asset Risk","As You Sow","Withdrawn; Company will address",2017,"NOT"
"Hess Corporation","Oil and Gas","Publish an assessment of portfolio risks under a 2 degree scenario","Climate Change; 
                    
                    
                        Carbon Asset Risk","As You Sow","Vote: 30.1%",2017,"PDF"
"Ameriprise Financial Inc.","Financial Services","Annual sustainability reporting","Sustainability Reporting","Friends Fiduciary Corporation","Withdrawn; Company will address",2017,"NOT"
"Torchmark Corp.","Financial Services","Annual sustainability reporting","Sustainability Reporting","Friends Fiduciary Corporation","Withdrawn; Company will address",2017,"NOT"
"PNM Resources","Electric Power","Publish an assessment identifying possible stranded assets","Climate Change; 
                    
                    
                        Coal; 
                    
                    
                        Carbon Asset Risk","Sam and Wendy Hitt","Vote: 39.9%",2017,"NOT"
"Whiting Petroleum Corp.","Oil and Gas","Report on how company minimizing fracking impacts","Climate Change; 
                    
                    
                        Community Impacts; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Methane Emissions","As You Sow","Withdrawn; Company will address",2017,"NOT"
"PNM Resources","Electric Power","Establish more effective board oversight of climate risk","Climate Change; 
                    
                    
                        Governance","Edith P. Homans","Withdrawn",2017,"NOT"
"CVS Health","Retail","Report on feasibility of renewable energy procurement/production","Renewables","Zevin Asset Management","Withdrawn; Company will address",2017,"NOT"
"Cimarex Energy Co.","Oil and Gas","Report on methane emissions monitoring and management","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","California State Teachers' Retirement System","Withdrawn; Company will address",2017,"NOT"
"WPX Energy, Inc.","Oil and Gas","Report on methane emissions monitoring and management","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","California State Teachers' Retirement System","Withdrawn; Company will address",2017,"NOT"
"Black Hills Corporation","Utilities","Report on methane emissions monitoring and management","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","California State Teachers' Retirement System","Withdrawn; Company will address",2017,"NOT"
"Monster Beverage Corporation","Food and Beverage","Issue a sustainability report including water-risk analysis","Sustainability Reporting; 
                    
                    
                        Water Pollution","California State Teachers' Retirement System","Filed",2017,"NOT"
"CH Robinson Worldwide Inc.","Transportation","Report on the feasibility of GHG disclosure and management","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Sisters of the Presentation of the Blessed Virgin Mary","Withdrawn; Ongoing dialogue",2017,"NOT"
"Duke Energy Corporation","Utilities","Report on public health risk from coal use","Air Pollution; 
                    
                    
                        Climate Change; 
                    
                    
                        Coal; 
                    
                    
                        Community Impacts; 
                    
                    
                        Greenhouse Gas Emissions","As You Sow","Vote: 27.1%",2017,"NOT"
"Phillips 66","Oil and Gas","Environmental and human rights due diligence","Community Impacts; 
                    
                    
                        Governance; 
                    
                    
                        Human Rights","Presbyterian Church (USA)","Withdrawn; Company will address",2017,"NOT"
"Danaher Corp.","Manufacturing","Adopt science-based GHG targets","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Calvert Research & Management","Vote: 30.1%",2017,"NOT"
"Pilgrim's Pride Corporation","Agriculture","Policy on water impacts of business operations and suppliers","Water Pollution","Oblate International Pastoral Investment Trust","Vote: 14.7%",2017,"NOT"
"Restaurant Brands International Inc.","Food and Beverage","Plan to eliminate deforestation and human rights violations from supply chain","Climate Change; 
                    
                    
                        Community Impacts; 
                    
                    
                        Forests; 
                    
                    
                        Human Rights; 
                    
                    
                        Supply Chain; 
                    
                    
                        Biodiversity; 
                    
                    
                        Palm Oil","Seventh Generation Interfaith Coalition for Responsible Investment","Withdrawn; Company will address",2017,"NOT"
